"Name";"plot.ID";"site";"arbeitsname";"Transekt";"Transektnummer";"Art";"Schicht";"Deckung";"Wuchsform";"Sukzessionszeiger";"Moorart"
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_russowii";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Sphagnum_squarrosum";"ML";0;"";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Tetraphis_pellucida";"ML";0;"";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Betula_pendula";"SL";0;"woody";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Betula_pubescens";"SL";0;"woody";NA;TRUE
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Fagus_sylvatica";"SL";0;"woody";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Frangula_alnus";"SL";0;"woody";TRUE;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Picea_abies";"SL";0;"woody";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Pinus_sylvestris";"SL";0;"woody";NA;NA
"MT4";4;"Meu_trock";"WM4";"WO";-22;"Salix_aurita";"SL";0;"woody";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Pinus_sylvestris";"TL";38;"woody";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Betula_pubescens";"TL";0;"woody";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Betula";"HL";0;"woody";TRUE;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Callitriche_palustris";"HL";0;"";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Calluna_vulgaris";"HL";0;"woody";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Carex_canescens";"HL";0;"grass";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Carex_echinata";"HL";0;"grass";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Carex_nigra";"HL";0;"grass";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Carex_rostrata";"HL";0;"grass";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Digitalis_purpurea";"HL";0;"";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Dryopteris_carthusiana";"HL";0;"";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Eriophorum_angustifolium";"HL";0;"grass";NA;TRUE
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Frangula_alnus";"HL";0;"woody";TRUE;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Holcus_lanatus";"HL";0;"grass";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Juncus_effusus";"HL";0;"grass";NA;NA
"MT5";5;"Meu_trock";"WM5";"WO";-21;"Lycopus_europaeus";"HL";0;"";TRUE;NA
